id,legacy
e675d05d-bb5c-4742-991b-fd29ce85ba7c,601
f45cb8ac-8b77-411e-a2a9-47e16bf277d9,374
afe3e762-89ac-4821-a522-517e70e59381,603
7f1f5b3d-51e5-4402-b167-2e3f677e131f,604
b68d868a-2407-47c2-859b-a01005dd5565,605
0250c98b-04c2-43a2-9593-526f40f5f24f,383
cc599f7d-3fb1-47c6-8356-244c7023ffce,623
5b4486ab-7a8d-4a93-abf9-4e96de04d932,606
168268d1-8dc7-4098-9658-656c29c59f91,385
0c286ef9-0d96-47e6-9d79-4d356c2dc774,364
502b1122-9bd7-4e0b-b830-902b1e2834bd,607
d220b917-796f-441d-8d89-ace323c24ad0,608
b28bc403-98fb-4df0-b18e-bd6f94be8c30,609
fe817502-fb26-4e92-a5df-e113aa0f747d,393
21ba964f-5306-490d-98d0-b594494ce35f,610
6218e085-a175-475a-b6f2-1c52366c46fb,612
861b4f4a-b2dd-4d74-a24e-c2d085f1936d,613
75be8643-0280-473f-8247-94cb8190a42a,387
4bc6c8af-1ca4-4a2d-bc86-050e9507c052,908
7a1d0cfd-3098-4f65-9165-f5f6be87fa6e,371
f807cb70-de24-4cd3-a3e3-8423b9cb928a,1031
f188bf9a-d5e3-46a7-bb02-2a8a1df38fbd,614
9bea5500-b44f-4959-ba2b-597ed57bcfec,615
ac89ed1f-55ee-402c-8d84-21db7315e053,617
419acca1-5aa4-46b6-b523-7d28bdeb113c,618
20a26f56-5753-4c9e-8421-dfc658b5d3ad,619
69658c17-f347-4956-83ae-d8cc3b1b41ee,620
101c1ee3-e6ec-41e3-91cb-d27ae6b3ff1c,624
631713c0-0e6e-415a-8660-6c39544de384,621
6f0fd91a-66da-401d-80be-066511b3afe6,622
ffc78cd8-f0b1-4066-89e6-54692b354047,885
8621848a-0abc-4dff-99f4-56ab75c325a4,379
