name,id
Murtazoqulov Jamshed Saidalievich,5e1c0734-c4bd-449a-98e8-ca6c6cce8c71
Nizom Qosim,7310cb43-751f-4db0-84a5-9c67b6a7b857
Odinaev Hayot Abdulhaqovich,66461cb5-58a6-4320-b930-414ede63ec8a
Oqilzoda Nurullo,4eac315a-4600-4fe9-a398-9cfc261ea1cd
Qalandarzoda Mavluda Sattori,fae56d2f-078f-4610-83a7-755ca84665ec
Qobilov Ahmadjon,1ced7754-9e36-4275-bf94-ad76544494d4
Qodirova Musalam Asomiddinovna,de9f4f34-5ef9-477e-89f8-85b8d575cb82
Qudratov Rustam Rahmatovich,7ef5e8ef-71ee-4ab0-8166-33145c61838e
Qurbonzoda Hilolbi,39259e5a-ac04-4907-9934-7eb68bd4fcaa
Rahmonzoda Abdulghaffor Aziz,9870118d-b8dd-4948-b043-b2bc6e8f4b8f
Rajabov Ravshan Muhitdinovich,c8fb3283-9ba3-4b90-8687-3836a9fa2395
Rajabov Safarali Khudoyorovich,68644285-a275-4eb4-a500-01067c150ad3
Rajabova Lutfiya Nusratovna,8b049976-909e-4c33-8c7c-58d1341019cf
Ruzador Muhabbatsho,6287be81-3169-4347-adf7-ec7745458c21
Saburov Mirzodavlat Abdolievich,25af9546-19de-404e-9c70-8b6d59d6a29c
Sadriddinov Badriddin Talbakovich,d7e426b7-7d2b-426d-8fd7-f20178786a69
Safarov Bakhtovar Amiralievich,06f6756a-fbfc-47f0-acba-750aa46cd8d3
Safarov Olimjon Jusupovich,2be1a8a0-1f04-4837-afce-e1494d7f0bfb
Safarov Zainidin,395ed38c-8362-4e1f-a93a-a7d9200b27e6
Saidov Jamshed Hamroqulovich,8b0edf64-b689-4cb9-b5f1-efdd034dad8a
Salimzoda Komil,08fbadae-5120-46d2-8dae-6def20f9b31d
Salimzoda Olim,81c98a60-0e08-4bdc-af1a-80fa2667ece6
Sharif Rahimzoda,b07595e6-4a0b-44ca-a5b3-b200bb3e25d9
Sharipov Sadridin Faizievich,2aa2ea42-5481-401d-a03e-db30824ee9e6
Sharofidinovna Mavzuna Shamsiddinovna,1402ce32-412e-45ac-8afd-cdc253449a27
Sirojov Sharofiddin,f3a0e5c1-5716-414d-9c86-e6eef0aa62d2
Sodiqova Nasiba Nusratovna,4a5f5251-1c48-4649-a0b0-f94b889abf96
Sufiev Khairullo Sabzaalievich,a7e6b795-bf33-4bae-8649-331962064b22
Taghaimurodov Anvar Haidarovich,f08e0da5-accb-41f4-8338-63dc42bd915d
Tursunova Gulbahor Nazirjonovna,6a6dbafa-6eda-4001-acf1-b080a038f577
Vatanov Mahmadali Mahmadulloevich,85544b40-c15e-45a1-9073-7d6c2a97be97
Zuhurov Shukurjon,64ce5c4f-8b9a-4cf7-8af9-a6c9a94ab012
Абдуалимов Баҳром Абдулазимович,9b64da42-575c-4347-a370-62bdd7b4b899
Абдуллозода Иброҳим Ғоибназарӣ,c04b32e6-735e-42bf-8bc8-feff25e29192
Азизӣ Абдуҷаббор Абдуқаҳҳор,8e2ea66b-54de-4d73-94ac-c5120d222e37
Азимзода Толибхон Ситамурод,b71df6a6-3d1e-4801-9780-ffd6b84f9278
Амрихудои Дамдор,75bb4606-74f1-4463-b629-030adacc10ee
Асозода Хайрулло,f6473cdb-1e33-44db-927f-5353dff89b95
Афзалшоева Бибидавлат Аскаршоевна,316705da-86d4-47f6-925d-84d29ccf9f8d
Ахмедов Мирзоанвар Халифаевич,f63996c5-dc1d-48b0-be7c-83bd6ed48b5e
Ахмедов Ҷаббор Ҷалолович,b63e249b-16f4-4541-9deb-5dcaddc76b2f
Ашурова Гулбаҳор Сангиллоевна,79c8fcb8-a042-4f33-a561-f0b7ac57f860
Бобоев Олимҷон,610d2490-3b48-4ed1-823b-d1f3ffb077da
Бобоева Гулнора Исломовна,5659e227-3422-4e80-8802-ca8ed9afa1ac
Бухориев Толибек Аҳмадович,058036bc-f32e-440f-ba9e-088bb1d63b61
Ватанов Маҳмадалӣ Маҳмадуллоевич,85544b40-c15e-45a1-9073-7d6c2a97be97
Давлатов Муродулло Исматович,a45a28f0-f1a1-4239-bd34-d6aaa1de49fe
Зуҳуров Шукурҷон,64ce5c4f-8b9a-4cf7-8af9-a6c9a94ab012
Исматуллоев Дилшод Абдуғаффорович,060ebbf1-bc01-4c89-995a-39da9e4f1c71
Исмоилзода Зуфар Муртазохон,c3b15c67-79b8-4b8f-88d2-ed41116aa24e
Исмонов Саидҷаъфар Исмонович,5803aaa9-aba6-4cba-b531-142551de1de4
Латифзода Рустам Барот,0b72046a-cc22-4544-acfa-73b285accd53
Мансурова Дилрабо Сайдуллоевна,2b31b130-eb57-4a5e-a42d-f0d7db124961
Маҷидзода Ҷурахон Зоир,7ff7c002-986a-4957-9982-98513c07c8fd
Миралиён Қиёмиддин Абусалимзода,63b85d2a-7a33-4940-a53b-2b2d85fb9b3b
Муртазоқулов Ҷамшед Саидалиевич,5e1c0734-c4bd-449a-98e8-ca6c6cce8c71
Муҳидиниён Пулод Муҳиддин,eaba314e-c65f-4192-962c-3b2dc2253de2
Низом Қосим,7310cb43-751f-4db0-84a5-9c67b6a7b857
Одинаев Ҳаёт Абдулҳақович,66461cb5-58a6-4320-b930-414ede63ec8a
Оқилзода Нурулло,4eac315a-4600-4fe9-a398-9cfc261ea1cd
Раҳмонзода Абдулғаффор Азиз,9870118d-b8dd-4948-b043-b2bc6e8f4b8f
Раҷабов Равшан Муҳитдинович,c8fb3283-9ba3-4b90-8687-3836a9fa2395
Раҷабов Сафаралӣ Худоёрович,68644285-a275-4eb4-a500-01067c150ad3
Раҷабова Лутфия Нусратовна,8b049976-909e-4c33-8c7c-58d1341019cf
Рузадор Муҳаббатшо,6287be81-3169-4347-adf7-ec7745458c21
Сабуров Мирзодавлат Абдолиевич,25af9546-19de-404e-9c70-8b6d59d6a29c
Садриддинов Бадриддин Талбакович,d7e426b7-7d2b-426d-8fd7-f20178786a69
Саидов Ҷамшед Ҳамроқулович,8b0edf64-b689-4cb9-b5f1-efdd034dad8a
Салимзода Комил,08fbadae-5120-46d2-8dae-6def20f9b31d
Салимзода Олим,81c98a60-0e08-4bdc-af1a-80fa2667ece6
Сафаров Бахтовар Амиралиевич,06f6756a-fbfc-47f0-acba-750aa46cd8d3
Сафаров Зайнидин,395ed38c-8362-4e1f-a93a-a7d9200b27e6
Сафаров Олимҷон Ҷусупович,2be1a8a0-1f04-4837-afce-e1494d7f0bfb
Сироҷов Шарофидин,f3a0e5c1-5716-414d-9c86-e6eef0aa62d2
Содиқова Насиба Нуруллоевна,4a5f5251-1c48-4649-a0b0-f94b889abf96
Суфиев Хайрулло Сабзаалиевич,a7e6b795-bf33-4bae-8649-331962064b22
Тағоймуродов Анвар Ҳайдарович,f08e0da5-accb-41f4-8338-63dc42bd915d
Турсунова Гулбаҳор Назирҷоновна,6a6dbafa-6eda-4001-acf1-b080a038f577
Фелалиев Акрамшо Саидшоевич,ff448337-b7d4-4886-a057-20a886ea4c18
Хайринисо Юсуфӣ,03213185-dd86-45e0-879b-e69b39b6e57e
Холиқзода Абдураҳим Ғафор,3b6fa389-593e-4d17-96fe-97d4562c68d1
Холиқов Ҳокимҷон Ҳикматуллоевич,09b999f1-42e7-4075-9bb7-18ec2e4c651a
Холмуҳаммадзода Азизмуҳаммад,a3e15e4b-bab6-43e1-ab71-77e300f03b96
Шарипов Садридин Файзиевич,2aa2ea42-5481-401d-a03e-db30824ee9e6
Шариф Раҳимзода,b07595e6-4a0b-44ca-a5b3-b200bb3e25d9
Шарофидинова Мавзуна Шамсиддиновна,1402ce32-412e-45ac-8afd-cdc253449a27
Ғаффоров Абдуҳалим,211a2373-6d76-445f-9f88-3e2ecb495a4c
Қаландарзода Мавлуда Сатторӣ,fae56d2f-078f-4610-83a7-755ca84665ec
Қобилов Аҳмадчон,1ced7754-9e36-4275-bf94-ad76544494d4
Қодирова Мусалам Асомиддиновна,de9f4f34-5ef9-477e-89f8-85b8d575cb82
Қудратов Рустам Раҳматович,7ef5e8ef-71ee-4ab0-8166-33145c61838e
Қурбонзода Ҳилолбӣ,39259e5a-ac04-4907-9934-7eb68bd4fcaa
Ҳакимов Ориф Марифович,2a703fcd-9201-4f25-98a3-28bdbb13465a
Ҷобирзода Тоҳир Гул,8d371bc6-9e40-45ba-a27c-4e2fe494d95c
