id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
225,Andrej Čuš,,,,Slovenian Democratic Party,SDS,area/viii_ptuj_i_9,VIII Ptuj I 9,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P225,
278,Andreja Potočnik,,,,Party of Modern Centre,SMC,area/i_tržič_7,I Tržič 7,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P278,
260,Anita Koleša,,,,Party of Modern Centre,SMC,area/v_Šentjur_1,V Šentjur 1,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P260,
239,Anja Bah Žibert,,https://twitter.com/ANJABAHZIBERT,https://www.facebook.com/anja.bah.zibert,Slovenian Democratic Party,SDS,area/vi_novo_mesto_i_2,VI Novo mesto I 2,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P239,
261,Benedikt Kopmajer,,,,Democratic Party of Pensioners of Slovenia,DeSUS,area/v_dravograd_-_radlje_11,V Dravograd - Radlje 11,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P261,
277,Bojan Podkrajšek,,https://twitter.com/b_podkrajsek,,Slovenian Democratic Party,SDS,area/vii_slovenske_konjice_3,VII Slovenske Konjice 3,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P277,
295,Branko Zorman,,,http://www.facebook.com/branko.zorman,Party of Modern Centre,SMC,area/i_kranj_i_4,I Kranj I 4,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P295,
040,Danijel Krivec,,,,Slovenian Democratic Party,SDS,area/ii_tolmin_1,II Tolmin 1,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P040,
282,Danilo Anton Ranc,,,https://www.facebook.com/pages/Danilo-Anton-Ranc/647966008626858,Party of Modern Centre,SMC,area/v_ravne_na_koroškem_10,V Ravne na Koroškem 10,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P282,
248,Dr. Bojan Dobovšek,,,,Nepovezani poslanec,NeP,area/iv_ljubljana_-_bežigrad_i_8,IV Ljubljana - Bežigrad I 8,Državni zbor,7,,,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P248,
