id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
917622ea-9d47-49b1-aa2b-616923f247e6,Adamopoulos Georgios,Adamopoulos Georgios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/larissa,Larissa,Hellenic Parliament,8,,,,
4e9a51d7-b519-4a47-8b37-6b6e0d58c0b6,Afentoulidis Nikolaos,Afentoulidis Nikolaos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/kilkis,Kilkis,Hellenic Parliament,8,,,,
149f4ab7-c280-4802-9b36-d775e80ab93a,Akrita Sylva - Kaiti,Akrita Sylva - Kaiti,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/state,State,Hellenic Parliament,8,,,,
38e6bfae-8ab8-4a55-b19c-aa414c3998ad,Akritidis Nikolaos,Akritidis Nikolaos,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/thessaloniki_a,Thessaloniki A,Hellenic Parliament,8,,,,
942ccdca-d387-4fb7-a8f1-e82349727699,Akrivakis Alexandros,Akrivakis Alexandros,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/viotia,Viotia,Hellenic Parliament,8,,,,
2da3c026-443b-4760-a55c-2ad378ee61d0,Alampanos Dimitrios,Alampanos Dimitrios,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/fthiotida,Fthiotida,Hellenic Parliament,8,,,,
0684b63b-5af0-4522-8794-0c215a2f2acc,Alevras Athanasios (Nasos),Alevras Athanasios (Nasos),,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/athens_a,Athens A,Hellenic Parliament,8,1994-04-25,,,
3d2b085c-d6e2-496a-9577-93dc342e7013,Alevras Ioannis,Alevras Ioannis,,,,PA.SO.K. (Panhellenic Socialist Movement),pasok,area/state,State,Hellenic Parliament,8,1995-04-06,,,
31131ddf-feb5-45ea-84cb-7bdc15455a42,Anagnostopoulos Theodoros,Anagnostopoulos Theodoros,,,,N.D. (New Democracy),nd,area/karditsa,Karditsa,Hellenic Parliament,8,,,,
4a3cd804-9af9-42f4-9dcf-6c3823d5c165,Anastasopoulos Nikolaos,Anastasopoulos Nikolaos,,,,N.D. (New Democracy),nd,area/messinia,Messinia,Hellenic Parliament,8,,,,
