id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
55,B A Linares,"Linares, Bernard Anthony",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,
45,E M Britto,E M Britto,,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,
51,H A Corby,"Corby, Hubert Alfred",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,
40,J C Perez,J C Perez,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
22,J J Bossano,J J Bossano,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
62,J J Garcia,J J Garcia,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
56,J J Holliday,"Holliday, Joseph John",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,male
57,J J Netto,"Netto, James Joseph",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,
41,J L Baldachino,J L Baldachino,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
58,K Azopardi,"Azopardi, Keith",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,male
39,M I Montegriffo,M I Montegriffo,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
49,P R Caruana,"Caruana, Peter Richard",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Peter_Caruana_elected.jpg,male
26,R G Valarino,R G Valarino,,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,,
64,R R Rhoda,R R Rhoda,,,,unknown,unknown,,,Parliament,9,,,,
66,S E Linares,"Linares, Steven Ernest",,,,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,_gibraltar_liberal_party,,,Parliament,9,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Steven_Linares.jpg,male
65,T J Bristow,T J Bristow,,,,unknown,unknown,,,Parliament,9,,,,
63,Y Del Agua,"Del Agua, Yvette",,,,Gibraltar Social Democrats,gibraltar_social_democrats,,,Parliament,9,,,,female
